turn_id,speaker,dialogue_text,extraction_confidence,source
VOF_T00295,White Mason,"That’s my idea, too, Well, we can adopt it as a working hypothesis and then see how far our difficulties disappear. An agent from such a society makes his way into the house, waits for Mr. Douglas, blows his head nearly off with this weapon, and escapes by wading the moat, after leaving a card beside the dead man, which will, when mentioned in the papers, tell other members of the society that vengeance has been done. That all hangs together. But why this gun, of all weapons?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00303,Ames,"Mr. Douglas’s dumb-bells, Dumb-bell—there’s only one. Where’s the other?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00306,he,"Sorry to interrupt your consultation, but you should hear the latest news.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00309,the inspector,"It would be a grand help to the police, if these things were numbered and registered. But we must be thankful for what we’ve got. If we can’t find where he went to, at least we are likely to get where he came from. But what in the name of all that is wonderful made the fellow leave it behind? And how in the world has he got away without it? We don’t seem to get a gleam of light in the case, Mr. Holmes.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00312,White Mason as we,"Have you seen all you want of the study? For the time,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00317,I,How long were you with Douglas in California? Five years altogether.,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00342,MacDonald,"I should like these dates a little clearer, It is quite six years since Douglas left California. You followed him next year, did you not?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00360,he,"You are aware, that the dead man’s wedding ring has been taken from his finger?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00361,Barker,"So it appears, What do you mean by ‘appears’? You know it as a fact.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00367,MacDonald,"I don’t know that I’ve anything else to ask you at present, There was one small point,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00382,the inspector,"We have taken every possible step, Mrs. Douglas, You may rest assured that nothing will be neglected.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00402,Holmes,"Might I ask, what the words were which attracted your attention?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00409,I,"There is one other point, You met Mr. Douglas in a boarding house in London, did you not, and became engaged to him there? Was there any romance, anything secret or mysterious, about the wedding?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00416,the inspector,"Well, we will not detain you any longer, and we are sorry to have put you to this trouble at such a time, There are some other points, no doubt; but we can refer to you as they arise.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00418,MacDonald,"She’s a beautiful woman—a very beautiful woman, This man Barker has certainly been down here a good deal. He is a man who might be attractive to a woman. He admits that the dead man was jealous, and maybe he knew best himself what cause he had for jealousy. Then there’s that wedding ring. You can’t get past that. The man who tears a wedding ring off a dead man’s—What do you say to it, Mr. Holmes?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00429,Holmes,Strange! Very strange indeed!,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00431,he,"there’s not a doubt of it! Barker has just marked the window himself. It’s a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here’s the explanation. But what’s the game, Mr. Holmes—what’s the game?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00435,he,"Excuse me, sir, but am I addressing Dr. Watson?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00437,she,"I fear that you think me callous and hard-hearted, It is no business of mine,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00439,Barker,"There is no need why Dr. Watson should realize, As he has himself said, it is no possible business of his.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00440,I,"Exactly, and so I will beg leave to resume my walk.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00441,the woman in a,"One moment, Dr. Watson, There is one question which you can answer with more authority than anyone else in the world, and it may make a very great difference to me. You know Mr. Holmes and his relations with the police better than anyone else can. Supposing that a matter were brought confidentially to his knowledge, is it absolutely necessary that he should pass it on to the detectives?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00442,Barker,"Yes, that’s it, Is he on his own or is he entirely in with them?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00447,Holmes,"I wish none of their confidences, No confidences, Watson; for they are mighty awkward if it comes to an arrest for conspiracy and murder.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00453,I,"I am convinced myself, that there is an understanding between those two people. She must be a heartless creature to sit laughing at some jest within a few hours of her husband’s murder.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00456,Holmes,"There is an appalling directness about your questions, Watson, They come at me like bullets. If you put it that Mrs. Douglas and Barker know the truth about the murder, and are conspiring to conceal it, then I can give you a whole-souled answer. I am sure they do. But your more deadly proposition is not so clear. Let us for a moment consider the difficulties which stand in the way. “We will suppose that this couple are united by the bonds of a guilty love, and that they have determined to get rid of the man who stands between them. It is a large supposition; for discreet inquiry among servants and others has failed to corroborate it in any way. On the contrary, there is a good deal of evidence that the Douglases were very attached to each other.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00457,I,"That, I am sure, cannot be true, Well, at least they gave that impression. However, we will suppose that they are an extraordinarily astute couple, who deceive everyone upon this point, and conspire to murder the husband. He happens to be a man over whose head some danger hangs—",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00466,I,"Well, it is possible, no doubt, We have to remember, Watson, that whatever occurred is certainly something very extraordinary. Well, now, to continue our supposititious case, the couple—not necessarily a guilty couple—realize after the murderer is gone that they have placed themselves in a position in which it may be difficult for them to prove that they did not themselves either do the deed or connive at it. They rapidly and rather clumsily met the situation. The mark was put by Barker’s bloodstained slipper upon the windowsill to suggest how the fugitive got away. They obviously were the two who must have heard the sound of the gun; so they gave the alarm exactly as they would have done, but a good half hour after the event.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00475,MacDonald,"Man, I’ll admeet that I had my doubts if there was ever an outsider, but that’s all past now. We’ve had the bicycle identified, and we have a description of our man; so that’s a long step on our journey.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00476,Holmes,"It sounds to me like the beginning of the end, I’m sure I congratulate you both with all my heart.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00478,Holmes gleefully,"Well, well, you have indeed done some solid work while I have been sitting spinning theories with my friend! It’s a lesson in being practical, Mr. Mac.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00479,the inspector,"Ay, it’s just that, Mr. Holmes, But this may all fit in with your theories,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00482,White Mason,"That’s what puzzles me, Mr. Holmes, If the fellow did not want the hue and cry raised over him, one would imagine that he would have returned and remained at the hotel as an inoffensive tourist. As it is, he must know that he will be reported to the police by the hotel manager and that his disappearance will be connected with the murder.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00485,Holmes,"Well, bar the expression, that might almost be a description of Douglas himself, He is just over fifty, with grizzled hair and moustache, and about the same height. Did you get anything else?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00490,MacDonald,"Well, Mr. Holmes, when we have got our man—and you may be sure that I had his description on the wires within five minutes of hearing it—we shall be better able to judge. But, even as it stands, we have surely gone a long way. We know that an American calling himself Hargrave came to Tunbridge Wells two days ago with bicycle and valise. In the latter was a sawed-off shotgun; so he came with the deliberate purpose of crime. Yesterday morning he set off for this place on his bicycle, with his gun concealed in his overcoat. No one saw him arrive, so far as we can learn; but he need not pass through the village to reach the park gates, and there are many cyclists upon the road. Presumably he at once concealed his cycle among the laurels where it was found, and possibly lurked there himself, with his eye on the house, waiting for Mr. Douglas to come out. The shotgun is a strange weapon to use inside a house; but he had intended to use it outside, and there it has very obvious advantages, as it would be impossible to miss with it, and the sound of shots is so common in an English sporting neighbourhood that no particular notice would be taken.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00491,Holmes,"That is all very clear, Well, Mr. Douglas did not appear. What was he to do next? He left his bicycle and approached the house in the twilight. He found the bridge down and no one about. He took his chance, intending, no doubt, to make some excuse if he met anyone. He met no one. He slipped into the first room that he saw, and concealed himself behind the curtain. Thence he could see the drawbridge go up, and he knew that his only escape was through the moat. He waited until quarter-past eleven, when Mr. Douglas upon his usual nightly round came into the room. He shot him and escaped, as arranged. He was aware that the bicycle would be described by the hotel people and be a clue against him; so he left it there and made his way by some other means to London or to some safe hiding place which he had already arranged. How is that, Mr. Holmes?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00493,the London inspector,"Well, Mr. Holmes, if this is true, we only tumble out of one mystery into another, And in some ways a worse one,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00495,Holmes,"I freely admit the difficulties, I propose to make a little investigation of my own to-night, and it is just possible that it may contribute something to the common cause.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00499,I,have you found anything out?,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00501,he,"would you be afraid to sleep in the same room with a lunatic, a man with softening of the brain, an idiot whose mind has lost its grip?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00508,Holmes sympathetically,"Dear me! Now, Mr. Mac and you, Mr. White Mason, I wish to give you a very earnest piece of advice. When I went into this case with you I bargained, as you will no doubt remember, that I should not present you with half-proved theories, but that I should retain and work out my own ideas until I had satisfied myself that they were correct. For this reason I am not at the present moment telling you all that is in my mind. On the other hand, I said that I would play the game fairly by you, and I do not think it is a fair game to allow you for one unnecessary moment to waste your energies upon a profitless task. Therefore I am here to advise you this morning, and my advice to you is summed up in three words—abandon the case.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00509,the inspector,You consider it hopeless! I consider your case to be hopeless. I do not consider that it is hopeless to arrive at the truth.,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00523,the detective,"I’m the first to admit that, You get to your point, I admit; but you have such a deuced round-the-corner way of doing it.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00531,the inspector,"Well, we’re bound to take you on your own terms, but when it comes to telling us to abandon the case—why in the name of goodness should we abandon the case?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00540,Holmes,"Capital! Well, then, I should recommend a nice, cheery country walk for both of you. They tell me that the views from Birlstone Ridge over the Weald are very remarkable. No doubt lunch could be got at some suitable hostelry; though my ignorance of the country prevents me from recommending one. In the evening, tired but happy—",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00541,MacDonald,"Man, this is getting past a joke! Well, well, spend the day as you like,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00547,the inspector,"It’s impossible, I’ve made inquiry.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00553,my friend,"Well, gentlemen, I am asking you now to put everything to the test with me, and you will judge for yourselves whether the observations I have made justify the conclusions to which I have come. It is a chill evening, and I do not know how long our expedition may last; so I beg that you will wear your warmest coats. It is of the first importance that we should be in our places before it grows dark; so with your permission we shall get started at once.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00554,MacDonald,"Well, what are we to do now? Possess our souls in patience and make as little noise as possible,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00556,he,"Watson insists that I am the dramatist in real life, Some touch of the artist wells up within me, and calls insistently for a well-staged performance. Surely our profession, Mr. Mac, would be a drab and sordid one if we did not sometimes set the scene so as to glorify our results. The blunt accusation, the brutal tap upon the shoulder—what can one make of such a denouement? But the quick inference, the subtle trap, the clever forecast of coming events, the triumphant vindication of bold theories—are these not the pride and the justification of our life’s work? At the present moment you thrill with the glamour of the situation and the anticipation of the hunt. Where would be that thrill if I had been as definite as a timetable? I only ask a little patience, Mr. Mac, and all will be clear to you.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00557,the London detective with,"Well, I hope the pride and justification and the rest of it will come before we all get our death of cold, How long is this to last?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00561,Holmes,Now! Now!,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00568,Holmes,"Perhaps I should have said ‘replaced it there,’ You will remember, Inspector MacDonald, that I was somewhat struck by the absence of a dumb-bell. I drew your attention to it; but with the pressure of other events you had hardly the time to give it the consideration which would have enabled you to draw deductions from it. When water is near and a weight is missing it is not a very far-fetched supposition that something has been sunk in the water. The idea was at least worth testing; so with the help of Ames, who admitted me to the room, and the crook of Dr. Watson’s umbrella, I was able last night to fish up and inspect this bundle. “It was of the first importance, however, that we should be able to prove who placed it there. This we accomplished by the very obvious device of announcing that the moat would be dried to-morrow, which had, of course, the effect that whoever had hidden the bundle would most certainly withdraw it the moment that darkness enabled him to do so. We have no less than four witnesses as to who it was who took advantage of the opportunity, and so, Mr. Barker, I think the word lies now with you.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00570,Holmes,"The clothes are commonplace, save only the overcoat, which is full of suggestive touches.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00575,the inspector,"Well, if you take that line, Mr. Barker, we must just keep you in sight until we have the warrant and can hold you.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00578,She,"Enough and more than enough, I have every sympathy with you, madam, and should strongly urge you to have some confidence in the common sense of our jurisdiction and to take the police voluntarily into your complete confidence. It may be that I am myself at fault for not following up the hint which you conveyed to me through my friend, Dr. Watson; but, at that time I had every reason to believe that you were directly concerned in the crime. Now I am assured that this is not so. At the same time, there is much that is unexplained, and I should strongly recommend that you ask Mr. Douglas to tell us his own story.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00581,She,"Indeed, yes, Mr. Douglas, I am sure that you will find it best.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00582,he,"I’ve heard of you, You are the historian of this bunch. Well, Dr. Watson, you’ve never had such a story as that pass through your hands before, and I’ll lay my last dollar on that. Tell it your own way; but there are the facts, and you can’t miss the public so long as you have those. I’ve been cooped up two days, and I’ve spent the daylight hours—as much daylight as I could get in that rat trap—in putting the thing into words. You’re welcome to them—you and your public. There’s the story of the Valley of Fear.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00583,She,"That’s the past, Mr. Douglas, What we desire now is to hear your story of the present.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00584,Douglas,"You’ll have it, sir, May I smoke as I talk? Well, thank you, Mr. Holmes. You’re a smoker yourself, if I remember right, and you’ll guess what it is to be sitting for two days with tobacco in your pocket and afraid that the smell will give you away.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00589,Holmes,"Ah, Mr. Mac, you would not read that excellent local compilation which described the concealment of King Charles. People did not hide in those days without excellent hiding places, and the hiding place that has once been used may be again. I had persuaded myself that we should find Mr. Douglas under this roof.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00590,the inspector,"And how long have you been playing this trick upon us, Mr. Holmes? How long have you allowed us to waste ourselves upon a search that you knew to be an absurd one?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00592,Douglas approvingly,"Well, you figured it out about right, I thought I’d dodge your British law; for I was not sure how I stood under it, and also I saw my chance to throw these hounds once for all off my track. Mind you, from first to last I have done nothing to be ashamed of, and nothing that I would not do again; but you’ll judge that for yourselves when I tell you my story. Never mind warning me, Inspector: I’m ready to stand pat upon the truth. “I’m not going to begin at the beginning. That’s all there,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00599,he,"The story is not over yet, I fear, You may find worse dangers than the English law, or even than your enemies from America. I see trouble before you, Mr. Douglas. You’ll take my advice and still be on your guard.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00600,he,"Hullo, mate! You seem heeled and ready.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00601,he,"Yes, we need them sometimes in the place I come from.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00606,the workman,"You may find you need it here, Ah! is that so?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00618,the workman,"I see you speak the truth, But it’s well to make certain.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00619,the workman,"Dark nights are unpleasant, Yes, for strangers to travel,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00623,McMurdo,"I found plenty of work to do, Then why did you leave?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00630,McMurdo with the air,"It’s early days to talk of such things, I’ve my own good reasons for leaving Chicago, and let that be enough for you. Who are you that you should take it on yourself to ask such things?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00642,one,"No offense, stranger, It was a warning for your own good, seeing that you are, by your own showing, new to the place.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00643,McMurdo in cold fury,"I’m new to the place; but I’m not new to you and your kind! I guess you’re the same in all places, shoving your advice in when nobody asks for it.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00644,one of the patrolmen,"Maybe we’ll see more of you before very long, You’re a real hand-picked one, if I am a judge.",high,Project Gutenberg #3289 - The Valley of Fear
