text_id,turn_id,speaker,dialogue_text,context_before,matched_dialogue,context_after
VOF,VOF_T00182,Barker,"Ah, that’s the question, At what o’clock was it raised?",,,
VOF,VOF_T00183,Ames,"It was nearly six o’clock, I’ve heard,",,,
VOF,VOF_T00185,Ames,"Mrs. Douglas had visitors to tea, I couldn’t raise it until they went. Then I wound it up myself.",,,
VOF,VOF_T00186,the sergeant,"Then it comes to this, If anyone came from outside—_if_ they did—they must have got in across the bridge before six and been in hiding ever since, until Mr. Douglas came into the room after eleven.",,,
VOF,VOF_T00195,the sergeant,"We’d best put it back on the rug where we found it, It will want the best brains in the force to get to the bottom of this thing. It will be a London job before it is finished."," The sergeant kept turning it over in his big fingers. “What’s V.V.? Somebody’s initials, maybe. What have you got there, Dr. Wood?” It was a good-sized hammer which had been lying on the rug in front of the fireplace—a substantial, workmanlike hammer. Cecil Barker pointed to a box of brass-headed nails upon the mantelpiece. “Mr. Douglas was altering the pictures yesterday,” he said. “I saw him myself, standing upon that chair and fixing the big picture above it. That accounts for the hammer.” “",We’d best put it back on the rug where we," found it,” said the sergeant, scratching his puzzled head in his perplexity. “It will want the best brains in the force to get to the bottom of this thing. It will be a London job before it is finished.” He raised the hand lamp and walked slowly round the room. “Hullo!” he cried, excitedly, drawing the window curtain to one side. “What o’clock were those curtains drawn?” “When the lamps were lit,” said the butler. “It would be shortly after four.” “Someone had been hiding here, sure enough.” He"
VOF,VOF_T00198,the butler,"When the lamps were lit, It would be shortly after four.",,,
VOF,VOF_T00201,Barker,"That’s how I read it, But, I say, aren’t we wasting precious time? Couldn’t we start out and scout the country before the fellow gets away?",,,
VOF,VOF_T00205,the doctor,"It’s not tattooed, I never saw anything like it. The man has been branded at some time as they brand cattle. What is the meaning of this?",,,
VOF,VOF_T00206,Cecil Barker,"I don’t profess to know the meaning of it, but I have seen the mark on Douglas many times this last ten years.",,,
VOF,VOF_T00207,the butler,"And so have I, Many a time when the master has rolled up his sleeves I have noticed that very mark. I’ve often wondered what it could be.",,,
VOF,VOF_T00208,the sergeant,"Then it has nothing to do with the crime, anyhow, But it’s a rum thing all the same. Everything about this case is rum. Well, what is it now?","rd-coloured skin. “It’s not tattooed,” said the doctor, peering through his glasses. “I never saw anything like it. The man has been branded at some time as they brand cattle. What is the meaning of this?” “I don’t profess to know the meaning of it,” said Cecil Barker; “but I have seen the mark on Douglas many times this last ten years.” “And so have I,” said the butler. “Many a time when the master has rolled up his sleeves I have noticed that very mark. I’ve often wondered what it could be.” “","Then it has nothing to do with the crime, anyhow,","” said the sergeant. “But it’s a rum thing all the same. Everything about this case is rum. Well, what is it now?” The butler had given an exclamation of astonishment and was pointing at the dead man’s outstretched hand. “They’ve taken his wedding ring!” he gasped. “What!” “Yes, indeed. Master always wore his plain gold wedding ring on the little finger of his left hand. That ring with the rough nugget on it was above it, and the twisted snake ring on the third finger. There’s the nugget and the"
VOF,VOF_T00212,Barker,"He’s right, Do you tell me,",,,
VOF,VOF_T00217,he,"Seems to me the sooner we get London on to this case the better, White Mason is a smart man. No local job has ever been too much for White Mason. It won’t be long now before he is here to help us. But I expect we’ll have to look to London before we are through. Anyhow, I’m not ashamed to say that it is a deal too thick for the likes of me.","the rough nugget on it was above it, and the twisted snake ring on the third finger. There’s the nugget and there’s the snake, but the wedding ring is gone.” “He’s right,” said Barker. “Do you tell me,” said the sergeant, “that the wedding ring was _below_ the other?” “Always!” “Then the murderer, or whoever it was, first took off this ring you call the nugget ring, then the wedding ring, and afterwards put the nugget ring back again.” “That is so!” The worthy country policeman shook his head. “",Seems to me the sooner we get London on to," this case the better,” said he. “White Mason is a smart man. No local job has ever been too much for White Mason. It won’t be long now before he is here to help us. But I expect we’ll have to look to London before we are through. Anyhow, I’m not ashamed to say that it is a deal too thick for the likes of me.” Chapter IV Darkness At three in the morning the chief Sussex detective, obeying the urgent call from Sergeant Wilson of Birlstone, arrived from headquarters in a light dog-cart behind a br"
VOF,VOF_T00222,White Mason in great,"I thought you would say so, Mr. Holmes, We’re well up with the times in Sussex. I’ve told you now how matters were, up to the time when I took over from Sergeant Wilson between three and four this morning. My word! I made the old mare go! But I need not have been in such a hurry, as it turned out; for there was nothing immediate that I could do. Sergeant Wilson had all the facts. I checked them and considered them and maybe added a few of my own.",,,
VOF,VOF_T00223,Holmes,"What were they? Well, I first had the hammer examined. There was Dr. Wood there to help me. We found no signs of violence upon it. I was hoping that if Mr. Douglas defended himself with the hammer, he might have left his mark upon the murderer before he dropped it on the mat. But there was no stain.",,,
VOF,VOF_T00224,I,"That, of course, proves nothing at all, There has been many a hammer murder and no trace on the hammer.",,,
VOF,VOF_T00226,Holmes,"A big P with a flourish above it, E and N smaller? Exactly.","ges, and, as Sergeant Wilson pointed out, the triggers were wired together so that, if you pulled on the hinder one, both barrels were discharged. Whoever fixed that up had made up his mind that he was going to take no chances of missing his man. The sawed gun was not more than two foot long—one could carry it easily under one’s coat. There was no complete maker’s name; but the printed letters P-E-N were on the fluting between the barrels, and the rest of the name had been cut off by the saw.” “","A big P with a flourish above it, E and"," N smaller?” asked Holmes. “Exactly.” “Pennsylvania Small Arms Company—well-known American firm,” said Holmes. White Mason gazed at my friend as the little village practitioner looks at the Harley Street specialist who by a word can solve the difficulties that perplex him. “That is very helpful, Mr. Holmes. No doubt you are right. Wonderful! Wonderful! Do you carry the names of all the gun makers in the world in your memory?” Holmes dismissed the subject with a wave. “No doubt it is an American "
VOF,VOF_T00230,he,"Man, you are surely travelling overfast, I have heard no evidence yet that any stranger was ever in the house at all.",,,
VOF,VOF_T00238,he,"I’m not convinced yet that there was ever anyone in the house, I’m asking you to conseedar"," account for American doings.” “Ames, the butler—” “What about him? Is he reliable?” “Ten years with Sir Charles Chandos—as solid as a rock. He has been with Douglas ever since he took the Manor House five years ago. He has never seen a gun of this sort in the house.” “The gun was made to conceal. That’s why the barrels were sawed. It would fit into any box. How could he swear there was no such gun in the house?” “Well, anyhow, he had never seen one.” MacDonald shook his obstinate Scotch head. “",I’m not convinced yet that there was ever anyone in," the house,” said he. “I’m asking you to conseedar” (his accent became more Aberdonian as he lost himself in his argument) “I’m asking you to conseedar what it involves if you suppose that this gun was ever brought into the house, and that all these strange things were done by a person from outside. Oh, man, it’s just inconceivable! It’s clean against common sense! I put it to you, Mr. Holmes, judging it by what we have heard.” “Well, state your case, Mr. Mac,” said Holmes in his most judicial s"
VOF,VOF_T00240,Holmes,"Well, state your case, Mr. Mac, The man is not a burglar, supposing that he ever existed. The ring business and the card point to premeditated murder for some private reason. Very good. Here is a man who slips into a house with the deliberate intention of committing murder. He knows, if he knows anything, that he will have a deeficulty in making his escape, as the house is surrounded with water. What weapon would he choose? You would say the most silent in the world. Then he could hope when the deed was done to slip quickly from the window, to wade the moat, and to get away at his leisure. That’s understandable. But is it understandable that he should go out of his way to bring with him the most noisy weapon he could select, knowing well that it will fetch every human being in the house to the spot as quick as they can run, and that it is all odds that he will be seen before he can get across the moat? Is that credible, Mr. Holmes?",,,
VOF,VOF_T00248,I,"I have worked with Mr. Holmes before, He plays the game.",,,
VOF,VOF_T00249,Holmes,"My own idea of the game, at any rate, I go into a case to help the ends of justice and the work of the police. If I have ever separated myself from the official force, it is because they have first separated themselves from me. I have no wish ever to score at their expense. At the same time, Mr. White Mason, I claim the right to work in my own way and give my results at my own time—complete rather than in stages.",,,
VOF,VOF_T00250,White Mason,"I am sure we are honoured by your presence and to show you all we know, Come along, Dr. Watson, and when the time comes we’ll all hope for a place in your book.","e,” said Inspector MacDonald. “He plays the game.” “My own idea of the game, at any rate,” said Holmes, with a smile. “I go into a case to help the ends of justice and the work of the police. If I have ever separated myself from the official force, it is because they have first separated themselves from me. I have no wish ever to score at their expense. At the same time, Mr. White Mason, I claim the right to work in my own way and give my results at my own time—complete rather than in stages.” “",I am sure we are honoured by your presence and to show you all we," know,” said White Mason cordially. “Come along, Dr. Watson, and when the time comes we’ll all hope for a place in your book.” We walked down the quaint village street with a row of pollarded elms on each side of it. Just beyond were two ancient stone pillars, weather-stained and lichen-blotched, bearing upon their summits a shapeless something which had once been the rampant lion of Capus of Birlstone. A short walk along the winding drive with such sward and oaks around it as one only sees in r"
VOF,VOF_T00251,White Mason,"That’s the window, that one on the immediate right of the drawbridge. It’s open just as it was found last night.",,,
VOF,VOF_T00254,White Mason,"I’ve had a good look, Mr. Holmes, There is nothing there, no sign that anyone has landed—but why should he leave any sign?",,,
VOF,VOF_T00261,White Mason,"Anything fresh, Sergeant Wilson? No, sir.",,,
VOF,VOF_T00264,MacDonald,"We can surely dismiss that, So I think. Suicide is out of the question. Then a murder has been done. What we have to determine is, whether it was done by someone outside or inside the house.",,,
VOF,VOF_T00269,Holmes,"You put it very clearly, I am inclined to agree with you.",,,
VOF,VOF_T00271,Holmes,"The candle shows that, Exactly. The candle, which was a new one, is not burned more than half an inch. He must have placed it on the table before he was attacked; otherwise, of course, it would have fallen when he fell. This shows that he was not attacked the instant that he entered the room. When Mr. Barker arrived the candle was lit and the lamp was out.",,,
VOF,VOF_T00275,MacDonald,"Man, it would be absolute nonsense if it wasn’t that anything else is even worse! Somebody killed the man, and whoever it was I could clearly prove to you that he should have done it some other way. What does he mean by allowing his retreat to be cut off like that? What does he mean by using a shotgun when silence was his one chance of escape? Come, Mr. Holmes, it’s up to you to give us a lead, since you say Mr. White Mason’s theory is unconvincing.","so it must have been. Mr. Douglas gave it up. Then either in cold blood or in the course of a struggle—Douglas may have gripped the hammer that was found upon the mat—he shot Douglas in this horrible way. He dropped his gun and also it would seem this queer card—V.V. 341, whatever that may mean—and he made his escape through the window and across the moat at the very moment when Cecil Barker was discovering the crime. How’s that, Mr. Holmes?” “Very interesting, but just a little unconvincing.” “","Man, it would be absolute nonsense if it wasn’t that anything else is even worse!","” cried MacDonald. “Somebody killed the man, and whoever it was I could clearly prove to you that he should have done it some other way. What does he mean by allowing his retreat to be cut off like that? What does he mean by using a shotgun when silence was his one chance of escape? Come, Mr. Holmes, it’s up to you to give us a lead, since you say Mr. White Mason’s theory is unconvincing.” Holmes had sat intently observant during this long discussion, missing no word that was said, with his keen"
VOF,VOF_T00276,he,"I should like a few more facts before I get so far as a theory, Mr. Mac, Dear me! these injuries are really appalling. Can we have the butler in for a moment?... Ames, I understand that you have often seen this very unusual mark—a branded triangle inside a circle—upon Mr. Douglas’s forearm?","rove to you that he should have done it some other way. What does he mean by allowing his retreat to be cut off like that? What does he mean by using a shotgun when silence was his one chance of escape? Come, Mr. Holmes, it’s up to you to give us a lead, since you say Mr. White Mason’s theory is unconvincing.” Holmes had sat intently observant during this long discussion, missing no word that was said, with his keen eyes darting to right and to left, and his forehead wrinkled with speculation. “","I should like a few more facts before I get so far as a theory,"," Mr. Mac,” said he, kneeling down beside the body. “Dear me! these injuries are really appalling. Can we have the butler in for a moment?... Ames, I understand that you have often seen this very unusual mark—a branded triangle inside a circle—upon Mr. Douglas’s forearm?” “Frequently, sir.” “You never heard any speculation as to what it meant?” “No, sir.” “It must have caused great pain when it was inflicted. It is undoubtedly a burn. Now, I observe, Ames, that there is a small piece of plaster a"
VOF,VOF_T00284,Holmes,"Suggestive! It may, of course, be a mere coincidence, or it may point to some nervousness which would indicate that he had reason to apprehend danger. Had you noticed anything unusual in his conduct, yesterday, Ames?",,,
VOF,VOF_T00295,White Mason,"That’s my idea, too, Well, we can adopt it as a working hypothesis and then see how far our difficulties disappear. An agent from such a society makes his way into the house, waits for Mr. Douglas, blows his head nearly off with this weapon, and escapes by wading the moat, after leaving a card beside the dead man, which will, when mentioned in the papers, tell other members of the society that vengeance has been done. That all hangs together. But why this gun, of all weapons?",,,
VOF,VOF_T00303,Ames,"Mr. Douglas’s dumb-bells, Dumb-bell—there’s only one. Where’s the other?",,,
VOF,VOF_T00306,he,"Sorry to interrupt your consultation, but you should hear the latest news.",,,
VOF,VOF_T00309,the inspector,"It would be a grand help to the police, if these things were numbered and registered. But we must be thankful for what we’ve got. If we can’t find where he went to, at least we are likely to get where he came from. But what in the name of all that is wonderful made the fellow leave it behind? And how in the world has he got away without it? We don’t seem to get a gleam of light in the case, Mr. Holmes.",,,
VOF,VOF_T00312,White Mason,"Have you seen all you want of the study? For the time,",,,
VOF,VOF_T00317,I,How long were you with Douglas in California? Five years altogether.,,,
VOF,VOF_T00342,MacDonald,"I should like these dates a little clearer, It is quite six years since Douglas left California. You followed him next year, did you not?",,,
VOF,VOF_T00360,he,"You are aware, that the dead man’s wedding ring has been taken from his finger?",,,
VOF,VOF_T00361,Barker,"So it appears, What do you mean by ‘appears’? You know it as a fact.",,,
VOF,VOF_T00367,MacDonald,"I don’t know that I’ve anything else to ask you at present, There was one small point,","ng.” “The mere fact that the ring should be absent, whoever may have removed it, would suggest to anyone’s mind, would it not, that the marriage and the tragedy were connected?” Barker shrugged his broad shoulders. “I can’t profess to say what it means,” he answered. “But if you mean to hint that it could reflect in any way upon this lady’s honour”—his eyes blazed for an instant, and then with an evident effort he got a grip upon his own emotions—“well, you are on the wrong track, that’s all.” “",I don’t know that I’ve anything else to ask you," at present,” said MacDonald, coldly. “There was one small point,” remarked Sherlock Holmes. “When you entered the room there was only a candle lighted on the table, was there not?” “Yes, that was so.” “By its light you saw that some terrible incident had occurred?” “Exactly.” “You at once rang for help?” “Yes.” “And it arrived very speedily?” “Within a minute or so.” “And yet when they arrived they found that the candle was out and that the lamp had been lighted. That seems very remarkable.” Ag"
VOF,VOF_T00382,the inspector,"We have taken every possible step, Mrs. Douglas, You may rest assured that nothing will be neglected.",,,
VOF,VOF_T00402,Holmes,"Might I ask, what the words were which attracted your attention?",,,
VOF,VOF_T00409,I,"There is one other point, You met Mr. Douglas in a boarding house in London, did you not, and became engaged to him there? Was there any romance, anything secret or mysterious, about the wedding?",,,
VOF,VOF_T00416,the inspector,"Well, we will not detain you any longer, and we are sorry to have put you to this trouble at such a time, There are some other points, no doubt; but we can refer to you as they arise.","aken. Does that suggest anything to you? Suppose that some enemy of his old life had tracked him down and committed this crime, what possible reason could he have for taking his wedding ring?” For an instant I could have sworn that the faintest shadow of a smile flickered over the woman’s lips. [Illustration: For an instant I could have sworn that the faintest shadow of a smile flickered over the woman’s lips.] “I really cannot tell,” she answered. “It is certainly a most extraordinary thing.” “","Well, we will not detain you any longer, and we are sorry to have put you to this trouble at"," such a time,” said the inspector. “There are some other points, no doubt; but we can refer to you as they arise.” She rose, and I was again conscious of that quick, questioning glance with which she had just surveyed us. “What impression has my evidence made upon you?” The question might as well have been spoken. Then, with a bow, she swept from the room. “She’s a beautiful woman—a very beautiful woman,” said MacDonald thoughtfully, after the door had closed behind her. “This man Barker has cer"
VOF,VOF_T00418,MacDonald,"She’s a beautiful woman—a very beautiful woman, This man Barker has certainly been down here a good deal. He is a man who might be attractive to a woman. He admits that the dead man was jealous, and maybe he knew best himself what cause he had for jealousy. Then there’s that wedding ring. You can’t get past that. The man who tears a wedding ring off a dead man’s—What do you say to it, Mr. Holmes?",,,
VOF,VOF_T00429,Holmes,Strange! Very strange indeed!,,,
VOF,VOF_T00431,he,"there’s not a doubt of it! Barker has just marked the window himself. It’s a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here’s the explanation. But what’s the game, Mr. Holmes—what’s the game?","e carpet slippers from the hall. As Ames had observed, the soles of both were dark with blood. “Strange!” murmured Holmes, as he stood in the light of the window and examined them minutely. “Very strange indeed!” Stooping with one of his quick feline pounces, he placed the slipper upon the blood mark on the sill. It exactly corresponded. He smiled in silence at his colleagues. The inspector was transfigured with excitement. His native accent rattled like a stick upon railings. “Man,” he cried, “","there’s not a doubt of it! Barker has just marked the window himself. It’s a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here’s the explanation. But what’s the game, Mr. Holmes—what’s the game?","” “Ay, what’s the game?” my friend repeated thoughtfully. White Mason chuckled and rubbed his fat hands together in his professional satisfaction. “I said it was a snorter!” he cried. “And a real snorter it is!” Chapter VI A Dawning Light The three detectives had many matters of detail into which to inquire; so I returned alone to our modest quarters at the village inn. But before doing so I took a stroll in the curious old-world garden which flanked the house. Rows of very ancient yew trees cut"
VOF,VOF_T00435,he,"Excuse me, sir, but am I addressing Dr. Watson?",,,
VOF,VOF_T00437,she,"I fear that you think me callous and hard-hearted, It is no business of mine,",,,
VOF,VOF_T00439,Barker,"There is no need why Dr. Watson should realize, As he has himself said, it is no possible business of his.",,,
VOF,VOF_T00440,I,"Exactly, and so I will beg leave to resume my walk.",,,
VOF,VOF_T00442,Barker,"Yes, that’s it, Is he on his own or is he entirely in with them?",,,
VOF,VOF_T00447,Holmes,"I wish none of their confidences, No confidences, Watson; for they are mighty awkward if it comes to an arrest for conspiracy and murder.",,,
VOF,VOF_T00453,I,"I am convinced myself, that there is an understanding between those two people. She must be a heartless creature to sit laughing at some jest within a few hours of her husband’s murder.",,,
VOF,VOF_T00456,Holmes,"There is an appalling directness about your questions, Watson, They come at me like bullets. If you put it that Mrs. Douglas and Barker know the truth about the murder, and are conspiring to conceal it, then I can give you a whole-souled answer. I am sure they do. But your more deadly proposition is not so clear. Let us for a moment consider the difficulties which stand in the way. “We will suppose that this couple are united by the bonds of a guilty love, and that they have determined to get rid of the man who stands between them. It is a large supposition; for discreet inquiry among servants and others has failed to corroborate it in any way. On the contrary, there is a good deal of evidence that the Douglases were very attached to each other.",,,
VOF,VOF_T00457,I,"That, I am sure, cannot be true, Well, at least they gave that impression. However, we will suppose that they are an extraordinarily astute couple, who deceive everyone upon this point, and conspire to murder the husband. He happens to be a man over whose head some danger hangs—",,,
VOF,VOF_T00466,I,"Well, it is possible, no doubt, We have to remember, Watson, that whatever occurred is certainly something very extraordinary. Well, now, to continue our supposititious case, the couple—not necessarily a guilty couple—realize after the murderer is gone that they have placed themselves in a position in which it may be difficult for them to prove that they did not themselves either do the deed or connive at it. They rapidly and rather clumsily met the situation. The mark was put by Barker’s bloodstained slipper upon the windowsill to suggest how the fugitive got away. They obviously were the two who must have heard the sound of the gun; so they gave the alarm exactly as they would have done, but a good half hour after the event.",,,
VOF,VOF_T00475,MacDonald,"Man, I’ll admeet that I had my doubts if there was ever an outsider, but that’s all past now. We’ve had the bicycle identified, and we have a description of our man; so that’s a long step on our journey."," “Certainly—but what a wretched weapon! If there is danger—” “Nothing serious, my dear Watson, or I should certainly ask for your assistance. But I’ll take the umbrella. At present I am only awaiting the return of our colleagues from Tunbridge Wells, where they are at present engaged in trying for a likely owner to the bicycle.” It was nightfall before Inspector MacDonald and White Mason came back from their expedition, and they arrived exultant, reporting a great advance in our investigation. “","Man, I’ll admeet that I had my doubts if there"," was ever an outsider,” said MacDonald, “but that’s all past now. We’ve had the bicycle identified, and we have a description of our man; so that’s a long step on our journey.” “It sounds to me like the beginning of the end,” said Holmes. “I’m sure I congratulate you both with all my heart.” “Well, I started from the fact that Mr. Douglas had seemed disturbed since the day before, when he had been at Tunbridge Wells. It was at Tunbridge Wells then that he had become conscious of some danger. It "
VOF,VOF_T00476,Holmes,"It sounds to me like the beginning of the end, I’m sure I congratulate you both with all my heart.","gues from Tunbridge Wells, where they are at present engaged in trying for a likely owner to the bicycle.” It was nightfall before Inspector MacDonald and White Mason came back from their expedition, and they arrived exultant, reporting a great advance in our investigation. “Man, I’ll admeet that I had my doubts if there was ever an outsider,” said MacDonald, “but that’s all past now. We’ve had the bicycle identified, and we have a description of our man; so that’s a long step on our journey.” “","It sounds to me like the beginning of the end,","” said Holmes. “I’m sure I congratulate you both with all my heart.” “Well, I started from the fact that Mr. Douglas had seemed disturbed since the day before, when he had been at Tunbridge Wells. It was at Tunbridge Wells then that he had become conscious of some danger. It was clear, therefore, that if a man had come over with a bicycle it was from Tunbridge Wells that he might be expected to have come. We took the bicycle over with us and showed it at the hotels. It was identified at once by "
VOF,VOF_T00478,Holmes,"Well, well, you have indeed done some solid work while I have been sitting spinning theories with my friend! It’s a lesson in being practical, Mr. Mac.",,,
VOF,VOF_T00479,the inspector,"Ay, it’s just that, Mr. Holmes, But this may all fit in with your theories,",,,
VOF,VOF_T00482,White Mason,"That’s what puzzles me, Mr. Holmes, If the fellow did not want the hue and cry raised over him, one would imagine that he would have returned and remained at the hotel as an inoffensive tourist. As it is, he must know that he will be reported to the police by the hotel manager and that his disappearance will be connected with the murder.",,,
VOF,VOF_T00485,Holmes,"Well, bar the expression, that might almost be a description of Douglas himself, He is just over fifty, with grizzled hair and moustache, and about the same height. Did you get anything else?"," been taken. But his description—what of that?” MacDonald referred to his notebook. “Here we have it so far as they could give it. They don’t seem to have taken any very particular stock of him; but still the porter, the clerk, and the chambermaid are all agreed that this about covers the points. He was a man about five foot nine in height, fifty or so years of age, his hair slightly grizzled, a grayish moustache, a curved nose, and a face which all of them described as fierce and forbidding.” “","Well, bar the expression, that might almost be a description"," of Douglas himself,” said Holmes. “He is just over fifty, with grizzled hair and moustache, and about the same height. Did you get anything else?” “He was dressed in a heavy gray suit with a reefer jacket, and he wore a short yellow overcoat and a soft cap.” “What about the shotgun?” “It is less than two feet long. It could very well have fitted into his valise. He could have carried it inside his overcoat without difficulty.” “And how do you consider that all this bears upon the general case?”"
VOF,VOF_T00490,MacDonald,"Well, Mr. Holmes, when we have got our man—and you may be sure that I had his description on the wires within five minutes of hearing it—we shall be better able to judge. But, even as it stands, we have surely gone a long way. We know that an American calling himself Hargrave came to Tunbridge Wells two days ago with bicycle and valise. In the latter was a sawed-off shotgun; so he came with the deliberate purpose of crime. Yesterday morning he set off for this place on his bicycle, with his gun concealed in his overcoat. No one saw him arrive, so far as we can learn; but he need not pass through the village to reach the park gates, and there are many cyclists upon the road. Presumably he at once concealed his cycle among the laurels where it was found, and possibly lurked there himself, with his eye on the house, waiting for Mr. Douglas to come out. The shotgun is a strange weapon to use inside a house; but he had intended to use it outside, and there it has very obvious advantages, as it would be impossible to miss with it, and the sound of shots is so common in an English sporting neighbourhood that no particular notice would be taken.",,,
VOF,VOF_T00491,Holmes,"That is all very clear, Well, Mr. Douglas did not appear. What was he to do next? He left his bicycle and approached the house in the twilight. He found the bridge down and no one about. He took his chance, intending, no doubt, to make some excuse if he met anyone. He met no one. He slipped into the first room that he saw, and concealed himself behind the curtain. Thence he could see the drawbridge go up, and he knew that his only escape was through the moat. He waited until quarter-past eleven, when Mr. Douglas upon his usual nightly round came into the room. He shot him and escaped, as arranged. He was aware that the bicycle would be described by the hotel people and be a clue against him; so he left it there and made his way by some other means to London or to some safe hiding place which he had already arranged. How is that, Mr. Holmes?",,,
