text_id,turn_id,sentence_id,speaker,current_text,classification,beginning_fragment,beginning_found,ending_fragment,ending_found,short_beginning_found,short_ending_found
VOF,VOF_T00123,VOF_T00123_S01,the inspector,"We’ve time yet, I’ve a cab at the door, and it won’t take us twenty minutes to Victoria.",ending_only,"We've time yet, I've a cab at the",False,it won't take us twenty minutes to Victoria.,True,False,True
VOF,VOF_T00145,VOF_T00145_S01,he,"He can keep, anyhow, You’ve got us side-tracked with your interesting anecdotes, mr. Holmes.",ending_only,"He can keep, anyhow, You've got us side-tracked",False,"us side-tracked with your interesting anecdotes, mr. Holmes.",True,True,True
VOF,VOF_T00152,VOF_T00152_S01,Holmes,"And ample for us both, While we are on our way, mr. Mac, I will ask you to be good enough to tell me all about it.",ending_only,"And ample for us both, While we are",False,good enough to tell me all about it.,True,True,True
VOF,VOF_T00154,VOF_T00154_S01,Unknown,"DEAR INSPECTOR MACDONALD, Official requisition for your services is in separate envelope.",ending_only,"DEAR INSPECTOR MACDONALD, Official requisition for your services",False,requisition for your services is in separate envelope.,True,False,True
VOF,VOF_T00155,VOF_T00155_S01,Holmes,"Your friend seems to be no fool, No, sir, White Mason is a very live man, if I am any judge.",ending_only,"Your friend seems to be no fool, No,",False,"very live man, if I am any judge.",True,True,True
VOF,VOF_T00161,VOF_T00161_S01,Ames,"An easy-going, free-handed gentleman, But, my word!",short_fragment_only,"An easy-going, free-handed gentleman, But, my word!",False,"An easy-going, free-handed gentleman, But, my word!",False,True,False
VOF,VOF_T00163,VOF_T00163_S01,Cecil Barker,"Nothing has been touched up to now, I’ll answer for that.",short_fragment_only,"Nothing has been touched up to now, I'll",False,"touched up to now, I'll answer for that.",False,True,True
VOF,VOF_T00181,VOF_T00181_S01,the police sergeant,"But, I say, It’s all very well your saying that a man escaped by wading this moat, but what I ask you is, how did he ever get into the house at all if the bridge was up?",ending_only,"But, I say, It's all very well your",False,house at all if the bridge was up?,True,False,True
VOF,VOF_T00182,VOF_T00182_S01,Barker,"Ah, that’s the question, At what o’clock was it raised?",short_fragment_only,"Ah, that's the question, At what o'clock was",False,"the question, At what o'clock was it raised?",False,True,True
VOF,VOF_T00183,VOF_T00183_S01,Ames,"It was nearly six o’clock, I’ve heard,",short_fragment_only,"It was nearly six o'clock, I've heard,",False,"It was nearly six o'clock, I've heard,",False,True,False
VOF,VOF_T00185,VOF_T00185_S01,Ames,"mrs. Douglas had visitors to tea, I couldn’t raise it until they went.",short_fragment_only,"mrs. Douglas had visitors to tea, I couldn't",False,"tea, I couldn't raise it until they went.",False,True,True
VOF,VOF_T00186,VOF_T00186_S01,the sergeant,"Then it comes to this, If anyone came from outside—_if_ they did—they must have got in across the bridge before six and been in hiding ever since, until mr. Douglas came into the room after eleven.",ending_only,"Then it comes to this, If anyone came",False,mr. Douglas came into the room after eleven.,True,True,True
VOF,VOF_T00195,VOF_T00195_S01,the sergeant,"We’d best put it back on the rug where we found it, It will want the best brains in the force to get to the bottom of this thing.",both_fragments_found,We'd best put it back on the rug,True,to get to the bottom of this thing.,True,True,True
VOF,VOF_T00198,VOF_T00198_S01,the butler,"When the lamps were lit, It would be shortly after four.",short_fragment_only,"When the lamps were lit, It would be",False,"were lit, It would be shortly after four.",False,True,True
VOF,VOF_T00201,VOF_T00201_S01,Barker,"That’s how I read it, But, I say, aren’t we wasting precious time?",ending_only,"That's how I read it, But, I say,",False,"But, I say, aren't we wasting precious time?",True,True,True
VOF,VOF_T00205,VOF_T00205_S01,the doctor,"It’s not tattooed, I never saw anything like it.",short_fragment_only,"It's not tattooed, I never saw anything like",False,"not tattooed, I never saw anything like it.",False,False,True
VOF,VOF_T00206,VOF_T00206_S01,Cecil Barker,"I don’t profess to know the meaning of it, but I have seen the mark on Douglas many times this last ten years.",both_fragments_found,I don't profess to know the meaning of,True,on Douglas many times this last ten years.,True,True,True
VOF,VOF_T00207,VOF_T00207_S01,the butler,"And so have I, Many a time when the master has rolled up his sleeves I have noticed that very mark.",ending_only,"And so have I, Many a time when",False,his sleeves I have noticed that very mark.,True,True,True
VOF,VOF_T00208,VOF_T00208_S01,the sergeant,"Then it has nothing to do with the crime, anyhow, But it’s a rum thing all the same.",both_fragments_found,Then it has nothing to do with the,True,But it's a rum thing all the same.,True,True,True
VOF,VOF_T00212,VOF_T00212_S01,Barker,"He’s right, Do you tell me,",short_fragment_only,"He's right, Do you tell me,",False,"He's right, Do you tell me,",False,False,True
VOF,VOF_T00217,VOF_T00217_S01,he,"Seems to me the sooner we get London on to this case the better, White Mason is a smart man.",beginning_only,Seems to me the sooner we get London,True,"the better, White Mason is a smart man.",False,True,True
VOF,VOF_T00222,VOF_T00222_S01,White Mason in great,"I thought you would say so, mr. Holmes, We’re well up with the times in Sussex.",both_fragments_found,"I thought you would say so, mr. Holmes,",True,We're well up with the times in Sussex.,True,True,True
VOF,VOF_T00224,VOF_T00224_S01,I,"That, of course, proves nothing at all, There has been many a hammer murder and no trace on the hammer.",ending_only,"That, of course, proves nothing at all, There",False,hammer murder and no trace on the hammer.,True,True,True
VOF,VOF_T00227,VOF_T00227_S01,Unknown,"Pennsylvania Small Arms Company—well-known American firm, That is very helpful, mr. Holmes.",short_fragment_only,"Pennsylvania Small Arms Company-well-known American firm, That is",False,"American firm, That is very helpful, mr. Holmes.",False,True,True
VOF,VOF_T00230,VOF_T00230_S01,he,"Man, you are surely travelling overfast, I have heard no evidence yet that any stranger was ever in the house at all.",ending_only,"Man, you are surely travelling overfast, I have",False,stranger was ever in the house at all.,True,True,True
VOF,VOF_T00238,VOF_T00238_S01,he,"I’m not convinced yet that there was ever anyone in the house, I’m asking you to conseedar",beginning_only,I'm not convinced yet that there was ever,True,"in the house, I'm asking you to conseedar",False,True,True
VOF,VOF_T00240,VOF_T00240_S01,Holmes,"Well, state your case, mr. Mac, The man is not a burglar, supposing that he ever existed.",ending_only,"Well, state your case, mr. Mac, The man",False,"not a burglar, supposing that he ever existed.",True,True,True
VOF,VOF_T00248,VOF_T00248_S01,I,"I have worked with mr. Holmes before, He plays the game.",short_fragment_only,"I have worked with mr. Holmes before, He",False,"with mr. Holmes before, He plays the game.",False,True,True
VOF,VOF_T00249,VOF_T00249_S01,Holmes,"My own idea of the game, at any rate, I go into a case to help the ends of justice and the work of the police.",both_fragments_found,"My own idea of the game, at any",True,of justice and the work of the police.,True,True,True
VOF,VOF_T00250,VOF_T00250_S01,White Mason,"I am sure we are honoured by your presence and to show you all we know, Come along, dr. Watson, and when the time comes we’ll all hope for a place in your book.",both_fragments_found,I am sure we are honoured by your,True,all hope for a place in your book.,True,True,True
VOF,VOF_T00251,VOF_T00251_S01,White Mason,"That’s the window, that one on the immediate right of the drawbridge.",ending_only,"That's the window, that one on the immediate",False,one on the immediate right of the drawbridge.,True,False,True
VOF,VOF_T00254,VOF_T00254_S01,White Mason,"I’ve had a good look, mr. Holmes, There is nothing there, no sign that anyone has landed—but why should he leave any sign?",ending_only,"I've had a good look, mr. Holmes, There",False,has landed-but why should he leave any sign?,True,True,True
VOF,VOF_T00264,VOF_T00264_S01,MacDonald,"We can surely dismiss that, So I think.",short_fragment_only,"We can surely dismiss that, So I think.",False,"We can surely dismiss that, So I think.",False,True,False
VOF,VOF_T00269,VOF_T00269_S01,Holmes,"You put it very clearly, I am inclined to agree with you.",short_fragment_only,"You put it very clearly, I am inclined",False,"clearly, I am inclined to agree with you.",False,True,True
VOF,VOF_T00271,VOF_T00271_S01,Holmes,"The candle shows that, Exactly.",short_fragment_only,"The candle shows that, Exactly.",False,"The candle shows that, Exactly.",False,True,False
VOF,VOF_T00276,VOF_T00276_S01,he,"I should like a few more facts before I get so far as a theory, mr. Mac, Dear me! these injuries are really appalling.",beginning_only,I should like a few more facts before,True,"Mac, Dear me! these injuries are really appalling.",False,True,True
VOF,VOF_T00295,VOF_T00295_S01,White Mason,"That’s my idea, too, Well, we can adopt it as a working hypothesis and then see how far our difficulties disappear.",ending_only,"That's my idea, too, Well, we can adopt",False,and then see how far our difficulties disappear.,True,True,True
VOF,VOF_T00303,VOF_T00303_S01,Ames,"mr. Douglas’s dumb-bells, Dumb-bell—there’s only one.",no_fragment_found,"mr. Douglas's dumb-bells, Dumb-bell-there's only one.",False,"mr. Douglas's dumb-bells, Dumb-bell-there's only one.",False,False,False
VOF,VOF_T00306,VOF_T00306_S01,he,"Sorry to interrupt your consultation, but you should hear the latest news.",short_fragment_only,"Sorry to interrupt your consultation, but you should",False,"consultation, but you should hear the latest news.",False,True,True
VOF,VOF_T00309,VOF_T00309_S01,the inspector,"It would be a grand help to the police, if these things were numbered and registered.",beginning_only,It would be a grand help to the,True,"police, if these things were numbered and registered.",False,True,True
VOF,VOF_T00342,VOF_T00342_S01,MacDonald,"I should like these dates a little clearer, It is quite six years since Douglas left California.",both_fragments_found,"I should like these dates a little clearer,",True,is quite six years since Douglas left California.,True,True,True
VOF,VOF_T00360,VOF_T00360_S01,he,"You are aware, that the dead man’s wedding ring has been taken from his finger?",ending_only,"You are aware, that the dead man's wedding",False,wedding ring has been taken from his finger?,True,False,True
VOF,VOF_T00361,VOF_T00361_S01,Barker,"So it appears, What do you mean by ‘appears’?",short_fragment_only,"So it appears, What do you mean by",False,"it appears, What do you mean by 'appears'?",False,False,True
VOF,VOF_T00367,VOF_T00367_S01,MacDonald,"I don’t know that I’ve anything else to ask you at present, There was one small point,",beginning_only,I don't know that I've anything else to,True,"you at present, There was one small point,",False,True,True
VOF,VOF_T00382,VOF_T00382_S01,the inspector,"We have taken every possible step, mrs. Douglas, You may rest assured that nothing will be neglected.",both_fragments_found,"We have taken every possible step, mrs. Douglas,",True,may rest assured that nothing will be neglected.,True,True,True
VOF,VOF_T00402,VOF_T00402_S01,Holmes,"Might I ask, what the words were which attracted your attention?",ending_only,"Might I ask, what the words were which",False,what the words were which attracted your attention?,True,False,True
VOF,VOF_T00409,VOF_T00409_S01,I,"There is one other point, You met mr. Douglas in a boarding house in London, did you not, and became engaged to him there?",ending_only,"There is one other point, You met mr.",False,"you not, and became engaged to him there?",True,True,True
VOF,VOF_T00416,VOF_T00416_S01,the inspector,"Well, we will not detain you any longer, and we are sorry to have put you to this trouble at such a time, There are some other points, no doubt; but we can refer to you as they arise.",both_fragments_found,"Well, we will not detain you any longer,",True,we can refer to you as they arise.,True,True,True
VOF,VOF_T00418,VOF_T00418_S01,MacDonald,"She’s a beautiful woman—a very beautiful woman, This man Barker has certainly been down here a good deal.",ending_only,"She's a beautiful woman-a very beautiful woman, This",False,has certainly been down here a good deal.,True,True,True
VOF,VOF_T00435,VOF_T00435_S01,he,"Excuse me, sir, but am I addressing dr. Watson?",short_fragment_only,"Excuse me, sir, but am I addressing dr.",False,"me, sir, but am I addressing dr. Watson?",False,False,True
VOF,VOF_T00437,VOF_T00437_S01,she,"I fear that you think me callous and hard-hearted, It is no business of mine,",beginning_only,I fear that you think me callous and,True,"and hard-hearted, It is no business of mine,",False,True,True
VOF,VOF_T00439,VOF_T00439_S01,Barker,"There is no need why dr. Watson should realize, As he has himself said, it is no possible business of his.",both_fragments_found,There is no need why dr. Watson should,True,"said, it is no possible business of his.",True,True,True
VOF,VOF_T00440,VOF_T00440_S01,I,"Exactly, and so I will beg leave to resume my walk.",ending_only,"Exactly, and so I will beg leave to",False,I will beg leave to resume my walk.,True,False,True
VOF,VOF_T00441,VOF_T00441_S01,Unknown,"One moment, dr. Watson, There is one question which you can answer with more authority than anyone else in the world, and it may make a very great difference to me.",ending_only,"One moment, dr. Watson, There is one question",False,may make a very great difference to me.,True,True,True
VOF,VOF_T00442,VOF_T00442_S01,Barker,"Yes, that’s it, Is he on his own or is he entirely in with them?",ending_only,"Yes, that's it, Is he on his own",False,own or is he entirely in with them?,True,False,True
VOF,VOF_T00447,VOF_T00447_S01,Holmes,"I wish none of their confidences, No confidences, Watson; for they are mighty awkward if it comes to an arrest for conspiracy and murder.",ending_only,"I wish none of their confidences, No confidences,",False,comes to an arrest for conspiracy and murder.,True,True,True
VOF,VOF_T00453,VOF_T00453_S01,I,"I am convinced myself, that there is an understanding between those two people.",ending_only,"I am convinced myself, that there is an",False,there is an understanding between those two people.,True,True,True
VOF,VOF_T00456,VOF_T00456_S01,Holmes,"There is an appalling directness about your questions, Watson, They come at me like bullets.",beginning_only,"There is an appalling directness about your questions,",True,"questions, Watson, They come at me like bullets.",False,True,True
VOF,VOF_T00457,VOF_T00457_S01,I,"That, I am sure, cannot be true, Well, at least they gave that impression.",short_fragment_only,"That, I am sure, cannot be true, Well,",False,"true, Well, at least they gave that impression.",False,True,True
VOF,VOF_T00466,VOF_T00466_S01,I,"Well, it is possible, no doubt, We have to remember, Watson, that whatever occurred is certainly something very extraordinary.",ending_only,"Well, it is possible, no doubt, We have",False,that whatever occurred is certainly something very extraordinary.,True,True,True
VOF,VOF_T00475,VOF_T00475_S01,MacDonald,"Man, I’ll admeet that I had my doubts if there was ever an outsider, but that’s all past now.",beginning_only,"Man, I'll admeet that I had my doubts",True,"ever an outsider, but that's all past now.",False,True,True
VOF,VOF_T00476,VOF_T00476_S01,Holmes,"It sounds to me like the beginning of the end, I’m sure I congratulate you both with all my heart.",both_fragments_found,It sounds to me like the beginning of,True,I congratulate you both with all my heart.,True,True,True
VOF,VOF_T00478,VOF_T00478_S01,Holmes,"Well, well, you have indeed done some solid work while I have been sitting spinning theories with my friend!",ending_only,"Well, well, you have indeed done some solid",False,have been sitting spinning theories with my friend!,True,False,True
VOF,VOF_T00479,VOF_T00479_S01,the inspector,"Ay, it’s just that, mr. Holmes, But this may all fit in with your theories,",ending_only,"Ay, it's just that, mr. Holmes, But this",False,"this may all fit in with your theories,",True,True,True
VOF,VOF_T00482,VOF_T00482_S01,White Mason,"That’s what puzzles me, mr. Holmes, If the fellow did not want the hue and cry raised over him, one would imagine that he would have returned and remained at the hotel as an inoffensive tourist. As it is, he must know that he will be reported to the police by the hotel manager and that his disappearance will be connected with the murder.",ending_only,"That's what puzzles me, mr. Holmes, If the",False,his disappearance will be connected with the murder.,True,True,True
VOF,VOF_T00485,VOF_T00485_S01,Holmes,"Well, bar the expression, that might almost be a description of Douglas himself, He is just over fifty, with grizzled hair and moustache, and about the same height.",both_fragments_found,"Well, bar the expression, that might almost be",True,"hair and moustache, and about the same height.",True,True,True
VOF,VOF_T00490,VOF_T00490_S01,MacDonald,"Well, mr. Holmes, when we have got our man—and you may be sure that I had his description on the wires within five minutes of hearing it—we shall be better able to judge.",ending_only,"Well, mr. Holmes, when we have got our",False,hearing it-we shall be better able to judge.,True,False,True
VOF,VOF_T00491,VOF_T00491_S01,Holmes,"That is all very clear, Well, mr. Douglas did not appear.",short_fragment_only,"That is all very clear, Well, mr. Douglas",False,"very clear, Well, mr. Douglas did not appear.",False,True,True
VOF,VOF_T00493,VOF_T00493_S01,the London inspector,"Well, mr. Holmes, if this is true, we only tumble out of one mystery into another, And in some ways a worse one,",beginning_only,"Well, mr. Holmes, if this is true, we",True,"another, And in some ways a worse one,",False,True,True
VOF,VOF_T00495,VOF_T00495_S01,Holmes,"I freely admit the difficulties, I propose to make a little investigation of my own to-night, and it is just possible that it may contribute something to the common cause.",ending_only,"I freely admit the difficulties, I propose to",False,it may contribute something to the common cause.,True,True,True
VOF,VOF_T00523,VOF_T00523_S01,the detective,"I’m the first to admit that, You get to your point, I admit; but you have such a deuced round-the-corner way of doing it.",ending_only,"I'm the first to admit that, You get",False,such a deuced round-the-corner way of doing it.,True,True,True
VOF,VOF_T00531,VOF_T00531_S01,the inspector,"Well, we’re bound to take you on your own terms, but when it comes to telling us to abandon the case—why in the name of goodness should we abandon the case?",both_fragments_found,"Well, we're bound to take you on your",True,name of goodness should we abandon the case?,True,True,True
VOF,VOF_T00547,VOF_T00547_S01,the inspector,"It’s impossible, I’ve made inquiry.",no_fragment_found,"It's impossible, I've made inquiry.",False,"It's impossible, I've made inquiry.",False,False,False
VOF,VOF_T00553,VOF_T00553_S01,my friend,"Well, gentlemen, I am asking you now to put everything to the test with me, and you will judge for yourselves whether the observations I have made justify the conclusions to which I have come.",ending_only,"Well, gentlemen, I am asking you now to",False,justify the conclusions to which I have come.,True,False,True
VOF,VOF_T00556,VOF_T00556_S01,he,"Watson insists that I am the dramatist in real life, Some touch of the artist wells up within me, and calls insistently for a well-staged performance.",both_fragments_found,Watson insists that I am the dramatist in,True,"me, and calls insistently for a well-staged performance.",True,True,True
VOF,VOF_T00557,VOF_T00557_S01,Unknown,"Well, I hope the pride and justification and the rest of it will come before we all get our death of cold, How long is this to last?",beginning_only,"Well, I hope the pride and justification and",True,"of cold, How long is this to last?",False,True,True
VOF,VOF_T00568,VOF_T00568_S01,Holmes,"Perhaps I should have said ‘replaced it there,’ You will remember, Inspector MacDonald, that I was somewhat struck by the absence of a dumb-bell.",both_fragments_found,"Perhaps I should have said 'replaced it there,'",True,somewhat struck by the absence of a dumb-bell.,True,True,True
VOF,VOF_T00570,VOF_T00570_S01,Holmes,"The clothes are commonplace, save only the overcoat, which is full of suggestive touches.",ending_only,"The clothes are commonplace, save only the overcoat,",False,"the overcoat, which is full of suggestive touches.",True,True,True
VOF,VOF_T00575,VOF_T00575_S01,the inspector,"Well, if you take that line, mr. Barker, we must just keep you in sight until we have the warrant and can hold you.",both_fragments_found,"Well, if you take that line, mr. Barker,",True,we have the warrant and can hold you.,True,True,True
VOF,VOF_T00576,VOF_T00576_S01,Unknown,"You can do what you damn please about that, You have done enough for now, Cecil,",beginning_only,You can do what you damn please about,True,"that, You have done enough for now, Cecil,",False,True,True
VOF,VOF_T00578,VOF_T00578_S01,She,"Enough and more than enough, I have every sympathy with you, madam, and should strongly urge you to have some confidence in the common sense of our jurisdiction and to take the police voluntarily into your complete confidence.",ending_only,"Enough and more than enough, I have every",False,take the police voluntarily into your complete confidence.,True,True,True
VOF,VOF_T00581,VOF_T00581_S01,She,"Indeed, yes, mr. Douglas, I am sure that you will find it best.",ending_only,"Indeed, yes, mr. Douglas, I am sure that",False,am sure that you will find it best.,True,True,True
VOF,VOF_T00582,VOF_T00582_S01,he,"I’ve heard of you, You are the historian of this bunch.",short_fragment_only,"I've heard of you, You are the historian",False,"you, You are the historian of this bunch.",False,True,True
VOF,VOF_T00583,VOF_T00583_S01,She,"That’s the past, mr. Douglas, What we desire now is to hear your story of the present.",ending_only,"That's the past, mr. Douglas, What we desire",False,is to hear your story of the present.,True,True,True
VOF,VOF_T00584,VOF_T00584_S01,Douglas,"You’ll have it, sir, May I smoke as I talk?",short_fragment_only,"You'll have it, sir, May I smoke as",False,"it, sir, May I smoke as I talk?",False,True,True
VOF,VOF_T00589,VOF_T00589_S01,Holmes,"Ah, mr. Mac, you would not read that excellent local compilation which described the concealment of King Charles.",ending_only,"Ah, mr. Mac, you would not read that",False,compilation which described the concealment of King Charles.,True,False,True
VOF,VOF_T00592,VOF_T00592_S01,Douglas,"Well, you figured it out about right, I thought I’d dodge your British law; for I was not sure how I stood under it, and also I saw my chance to throw these hounds once for all off my track.",ending_only,"Well, you figured it out about right, I",False,these hounds once for all off my track.,True,True,True
VOF,VOF_T00599,VOF_T00599_S01,he,"The story is not over yet, I fear, You may find worse dangers than the English law, or even than your enemies from America.",both_fragments_found,"The story is not over yet, I fear,",True,"law, or even than your enemies from America.",True,True,True
VOF,VOF_T00601,VOF_T00601_S01,he,"Yes, we need them sometimes in the place I come from.",ending_only,"Yes, we need them sometimes in the place",False,them sometimes in the place I come from.,True,False,True
VOF,VOF_T00606,VOF_T00606_S01,the workman,"You may find you need it here, Ah! is that so?",short_fragment_only,"You may find you need it here, Ah!",False,"you need it here, Ah! is that so?",False,True,True
VOF,VOF_T00618,VOF_T00618_S01,the workman,"I see you speak the truth, But it’s well to make certain.",short_fragment_only,"I see you speak the truth, But it's",False,"the truth, But it's well to make certain.",False,True,True
VOF,VOF_T00619,VOF_T00619_S01,the workman,"Dark nights are unpleasant, Yes, for strangers to travel,",short_fragment_only,"Dark nights are unpleasant, Yes, for strangers to",False,"nights are unpleasant, Yes, for strangers to travel,",False,True,True
VOF,VOF_T00623,VOF_T00623_S01,McMurdo,"I found plenty of work to do, Then why did you leave?",short_fragment_only,"I found plenty of work to do, Then",False,"work to do, Then why did you leave?",False,True,True
VOF,VOF_T00630,VOF_T00630_S01,McMurdo with the air,"It’s early days to talk of such things, I’ve my own good reasons for leaving Chicago, and let that be enough for you.",both_fragments_found,"It's early days to talk of such things,",True,"Chicago, and let that be enough for you.",True,True,True
VOF,VOF_T00636,VOF_T00636_S01,Unknown,"I guess hell must look something like that, For that matter,",beginning_only,"I guess hell must look something like that,",True,"must look something like that, For that matter,",False,True,False
VOF,VOF_T00642,VOF_T00642_S01,one,"No offense, stranger, It was a warning for your own good, seeing that you are, by your own showing, new to the place.",ending_only,"No offense, stranger, It was a warning for",False,"by your own showing, new to the place.",True,False,True
VOF,VOF_T00644,VOF_T00644_S01,one of the patrolmen,"Maybe we’ll see more of you before very long, You’re a real hand-picked one, if I am a judge.",both_fragments_found,Maybe we'll see more of you before very,True,"real hand-picked one, if I am a judge.",True,True,True
VOF,VOF_T00645,VOF_T00645_S01,the other,"I was thinking the same, I guess we may meet again.",short_fragment_only,"I was thinking the same, I guess we",False,"the same, I guess we may meet again.",False,True,True
VOF,VOF_T00650,VOF_T00650_S01,the guide,"That’s the Union House, Jack McGinty is the boss there.",short_fragment_only,"That's the Union House, Jack McGinty is the",False,"Union House, Jack McGinty is the boss there.",False,True,True
VOF,VOF_T00665,VOF_T00665_S01,McMurdo,"I thank you, I thought it was father,",short_fragment_only,"I thank you, I thought it was father,",False,"I thank you, I thought it was father,",False,False,True
VOF,VOF_T00669,VOF_T00669_S01,she,"You are quick to make up your mind, Anyone but a blind man could do as much,",both_fragments_found,"You are quick to make up your mind,",True,"but a blind man could do as much,",True,True,True
VOF,VOF_T00674,VOF_T00674_S01,he,"Say, McMurdo, I remembered your address, so I made bold to call.",ending_only,"Say, McMurdo, I remembered your address, so I",False,"your address, so I made bold to call.",True,False,True
VOF,VOF_T00688,VOF_T00688_S01,he,"You go and see him, my lad, It’s not the police but you that he’ll hate if you don’t!",ending_only,"You go and see him, my lad, It's",False,but you that he'll hate if you don't!,True,True,True
VOF,VOF_T00689,VOF_T00689_S01,he,"It seems to me, mister, that you are gettin’ set on my Ettie.",ending_only,"It seems to me, mister, that you are",False,that you are gettin' set on my Ettie.,True,True,True
VOF,VOF_T00701,VOF_T00701_S01,he,"The Scowrers, are the Eminent Order of Freemen!",short_fragment_only,"The Scowrers, are the Eminent Order of Freemen!",False,"The Scowrers, are the Eminent Order of Freemen!",False,False,True
VOF,VOF_T00741,VOF_T00741_S01,she,"I’m glad to see you, mr. Baldwin, You’re earlier than I had thought.",short_fragment_only,"I'm glad to see you, mr. Baldwin, You're",False,"mr. Baldwin, You're earlier than I had thought.",False,True,True
VOF,VOF_T00753,VOF_T00753_S01,McMurdo,"I think, Ettie, that if you were to leave us alone we could get this thing settled, Or maybe, mr. Baldwin, you will take a turn down the street with me.",both_fragments_found,"I think, Ettie, that if you were to",True,take a turn down the street with me.,True,True,True
VOF,VOF_T00754,VOF_T00754_S01,his enemy,"I’ll get even with you without needing to dirty my hands, You’ll wish you had never set foot in this house before I am through with you!",both_fragments_found,I'll get even with you without needing to,True,this house before I am through with you!,True,True,True
VOF,VOF_T00755,VOF_T00755_S01,McMurdo,"No time like the present, I’ll choose my own time, mister.",short_fragment_only,"No time like the present, I'll choose my",False,"the present, I'll choose my own time, mister.",False,True,True
VOF,VOF_T00762,VOF_T00762_S01,McMurdo,"I was thinking the same thing, I’ll go right now and fix it.",short_fragment_only,"I was thinking the same thing, I'll go",False,"thing, I'll go right now and fix it.",False,True,True
VOF,VOF_T00766,VOF_T00766_S01,Unknown,"He’s Councillor McGinty, young man, I’m sorry, Councillor.",short_fragment_only,"He's Councillor McGinty, young man, I'm sorry, Councillor.",False,"He's Councillor McGinty, young man, I'm sorry, Councillor.",False,True,False
VOF,VOF_T00768,VOF_T00768_S02,McMurdo,"If your heart is as big as your body, and your soul as fine as your face, then I’d ask for nothing better, If your heart is as big as your body, and your soul as fine as your face, then I’d ask for nothing better, By Gar! you’ve got an Irish tongue in your head anyhow,",both_fragments_found,If your heart is as big as your,True,"got an Irish tongue in your head anyhow,",True,True,True
VOF,VOF_T00770,VOF_T00770_S01,McMurdo,"Sure, And you were told to see me?",short_fragment_only,"Sure, And you were told to see me?",False,"Sure, And you were told to see me?",False,False,True
VOF,VOF_T00777,VOF_T00777_S01,he,"See here, my joker, if I thought you were playing any game on us, it would be short work for you.",ending_only,"See here, my joker, if I thought you",False,"us, it would be short work for you.",True,True,True
VOF,VOF_T00780,VOF_T00780_S01,McGinty,"Ay, but it’s just that same that you have to prove, and God help you if you fail!",beginning_only,"Ay, but it's just that same that you",True,"prove, and God help you if you fail!",False,True,True
VOF,VOF_T00804,VOF_T00804_S01,McMurdo,"You are right, Councillor, I should apologize.",short_fragment_only,"You are right, Councillor, I should apologize.",False,"You are right, Councillor, I should apologize.",False,True,False
